id,place,city,state,latitude,longitude,category,best_time,budget_per_day,description,category_icon,estimated_entry_fee,estimated_local_travel
233,Har Ki Pauri,Haridwar,Uttarakhand,29.9457,78.1762,Spiritual,Oct-Mar,1800,"Har Ki Pauri is a popular travel spot near Haridwar, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,216,324
234,Mansa Devi Temple,Haridwar,Uttarakhand,29.9577,78.1642,Temple,Nov-Feb,2200,"Mansa Devi Temple is a popular travel spot near Haridwar, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
235,Chandi Devi Temple,Haridwar,Uttarakhand,29.9457,78.1522,Temple,Oct-Apr,2500,"Chandi Devi Temple is a popular travel spot near Haridwar, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,300,450
236,Bharat Mata Mandir,Haridwar,Uttarakhand,29.9337,78.1642,Temple,Sep-Feb,3000,"Bharat Mata Mandir is a popular travel spot near Haridwar, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,360,540
237,The Ridge,Shimla,Himachal Pradesh,31.1048,77.1854,Hill Station,Oct-Mar,1800,"The Ridge is a popular travel spot near Shimla, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,216,324
238,Mall Road,Shimla,Himachal Pradesh,31.1168,77.1734,Hill Station,Nov-Feb,2200,"Mall Road is a popular travel spot near Shimla, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,264,396
239,Jakhoo Temple,Shimla,Himachal Pradesh,31.1048,77.1614,Temple,Oct-Apr,2500,"Jakhoo Temple is a popular travel spot near Shimla, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,300,450
240,Kufri,Shimla,Himachal Pradesh,31.0928,77.1734,Hill Station,Sep-Feb,3000,"Kufri is a popular travel spot near Shimla, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,360,540
241,Solang Valley,Manali,Himachal Pradesh,32.2396,77.2007,Hill Station,Oct-Mar,1800,"Solang Valley is a popular travel spot near Manali, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,216,324
242,Hadimba Temple,Manali,Himachal Pradesh,32.2516,77.1887,Temple,Nov-Feb,2200,"Hadimba Temple is a popular travel spot near Manali, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
243,Rohtang Pass,Manali,Himachal Pradesh,32.2396,77.1767,Adventure,Oct-Apr,2500,"Rohtang Pass is a popular travel spot near Manali, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,300,450
244,Old Manali,Manali,Himachal Pradesh,32.2276,77.1887,Places to Visit,Sep-Feb,3000,"Old Manali is a popular travel spot near Manali, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
245,McLeod Ganj,Dharamshala,Himachal Pradesh,32.219,76.3354,Places to Visit,Oct-Mar,1800,"McLeod Ganj is a popular travel spot near Dharamshala, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,216,324
246,Namgyal Monastery,Dharamshala,Himachal Pradesh,32.231,76.3234,Spiritual,Nov-Feb,2200,"Namgyal Monastery is a popular travel spot near Dharamshala, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,264,396
247,Bhagsu Waterfall,Dharamshala,Himachal Pradesh,32.219,76.3114,Lake/Waterfall,Oct-Apr,2500,"Bhagsu Waterfall is a popular travel spot near Dharamshala, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,300,450
248,Triund,Dharamshala,Himachal Pradesh,32.207,76.3234,Adventure,Sep-Feb,3000,"Triund is a popular travel spot near Dharamshala, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,360,540
249,Khajjiar,Dalhousie,Himachal Pradesh,32.5387,75.982,Hill Station,Oct-Mar,1800,"Khajjiar is a popular travel spot near Dalhousie, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,216,324
250,Dainkund Peak,Dalhousie,Himachal Pradesh,32.5507,75.97,Hill Station,Nov-Feb,2200,"Dainkund Peak is a popular travel spot near Dalhousie, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,264,396
251,Panchpula,Dalhousie,Himachal Pradesh,32.5387,75.958,Places to Visit,Oct-Apr,2500,"Panchpula is a popular travel spot near Dalhousie, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
252,St John's Church,Dalhousie,Himachal Pradesh,32.5267,75.97,Spiritual,Sep-Feb,3000,"St John's Church is a popular travel spot near Dalhousie, Himachal Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,360,540
253,Dal Lake,Srinagar,Jammu and Kashmir,34.0837,74.8093,Lake/Waterfall,Oct-Mar,1800,"Dal Lake is a popular travel spot near Srinagar, Jammu and Kashmir, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,216,324
254,Mughal Gardens,Srinagar,Jammu and Kashmir,34.0957,74.7973,Nature,Nov-Feb,2200,"Mughal Gardens is a popular travel spot near Srinagar, Jammu and Kashmir, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,264,396
255,Shankaracharya Temple,Srinagar,Jammu and Kashmir,34.0837,74.7853,Temple,Oct-Apr,2500,"Shankaracharya Temple is a popular travel spot near Srinagar, Jammu and Kashmir, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,300,450
256,Nigeen Lake,Srinagar,Jammu and Kashmir,34.0717,74.7973,Lake/Waterfall,Sep-Feb,3000,"Nigeen Lake is a popular travel spot near Srinagar, Jammu and Kashmir, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,360,540
